bcode,bname
A,"Maatalous, metsätalous ja kalatalous"
B,Kaivostoiminta ja louhinta
C,Teollisuus
D,"Sähkö-, kaasu- ja lämpöhuolto, jäähdytysliiketoiminta"
E,"Vesihuolto, viemäri- ja jätevesihuolto, jätehuolto ja muu ympäristön puhtaanapito"
F,Rakentaminen
G,Tukku- ja vähittäiskauppa; moottoriajoneuvojen ja moottoripyörien korjaus
H,Kuljetus ja varastointi
I,Majoitus- ja ravitsemistoiminta
J,Informaatio ja viestintä
K,Rahoitus- ja vakuutustoiminta
L,Kiinteistöalan toiminta
M,"Ammatillinen, tieteellinen ja tekninen toiminta"
N,Hallinto- ja tukipalvelutoiminta
O,Julkinen hallinto ja maanpuolustus; pakollinen sosiaalivakuutus
P,Koulutus
Q,Terveys- ja sosiaalipalvelut
R,"Taiteet, viihde ja virkistys"
S,Muu palvelutoiminta
